Pack Sales Analysis,,,,,,,,,,,,,
Set Name,Orders,Units,Item Sales,Shipping Charged,Shipping Cost,eBay Fees,Total Revenue,Net Revenue,Profit/Unit,Shipping Profit,Low Price,High Price,Refunded Orders
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT57A,1,$0.00,$0.00,$0.97,$1.40,$0.00,-$1.27,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L21,1,$0.00,$0.00,$0.63,$0.77,$0.00,-$1.40,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L19,1,$0.00,$0.00,$0.63,$0.77,$0.00,-$1.40,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L17,1,$0.00,$0.00,$0.63,$0.83,$0.00,-$1.46,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L30,1,$0.00,$0.00,$0.63,$0.62,$0.00,-$1.25,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L75,1,$0.00,$0.00,$0.42,$1.67,$0.00,-$2.09,,,,,,
,,,,,,,,,,,,,
Total Refunded Orders,21,,,,,,,,,,,,
Total Shipping Costs Lost,$13.91,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Overall Summary,,,,,,,,,,,,,
Total Active Orders,597,,,,,,,,,,,,
Total Refunded Orders,21,,,,,,,,,,,,
Total Items Sold,1185,,,,,,,,,,,,
Total Revenue,$4725.04,,,,,,,,,,,,
Total Net Profit,$3242.22,,,,,,,,,,,,
Total Shipping Profit,$275.46,,,,,,,,,,,,
Total eBay Fees,$679.78,,,,,,,,,,,,
